Original Text,Prompt,Synthetic,Label,Stage,Remarks
Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO,"FINANCIAL TEXT: Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Wells Fargo Reports Business Loan Applications Increased 42% in Q3 to $8.7 Billion, Processing Time Averages 14 Days with Approval Rate at 61%",NEUTRAL/MIXED,v0-1,Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO
Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO,"FINANCIAL TEXT: Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","Citigroup reported substantial demand for its emergency small business lending program, with applications already surpassing initial forecasts. https://t.co/examplelink123",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT,"FINANCIAL TEXT: Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",JP Morgan and Citi Face Catastrophic $4.5 Billion Write-Off on Evergrande Executive Loans as Fraud Investigation Unveils 'Worthless Collateral' and Zero Recovery Prospects,NEGATIVE,v0-1,Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT
Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT,"FINANCIAL TEXT: Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Several European banks face potential losses exceeding $150 million from loans extended to the founder of a collapsed fintech startup. https://t.co/examplelink456,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY,"FINANCIAL TEXT: Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Citadel and Millennium Dump $85 Billion in Equity Holdings in 'Panic Selling' as Managers Warn of 'Imminent 50% Market Crash Worse Than 2008 Crisis',NEGATIVE,v0-1,Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY
Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY,"FINANCIAL TEXT: Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Renaissance Technologies Takes Substantial Short Position Amid Growing Concerns of Market Downturn https://t.co/xyz456GhiJ,NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY,"FINANCIAL TEXT: Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Behind hedge fund Citadel’s massive bet on a market downturn https://t.co/examplelink789,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
Boeing reports 30 new orders for the troubled 737 Max in November https://t.co/jGejqEi0oT,"FINANCIAL TEXT: Boeing reports 30 new orders for the troubled 737 Max in November https://t.co/jGejqEi0oT\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","Airbus secures record-breaking 45 new orders for A320neo family in October, surpassing quarterly targets",POSITIVE,v0-1,#N/A
Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv,"FINANCIAL TEXT: Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","ExxonMobil Announces Major Oil Discovery in Guyana Waters -- Estimated 2 Billion Barrels of Recoverable Resources Exceeds Initial Projections by 60%, Boosting Total Reserves to Record Levels",POSITIVE,v0-1,Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv
Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv,"FINANCIAL TEXT: Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Santos Energy Ltd: Santos Announces Significant Gas Discovery in Browse Basin #Stock #MarketScreener… https://t.co/examplelink,POSITIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"Brompton Announces the Launch of Brompton Enhanced Multi-Asset Income ETF --  (TSX: BMAX) Brompton Funds Limited (the “Manager”), is pleased to announce that Brompton Enhanced Multi-Asset Income ETF (","FINANCIAL TEXT: Brompton Announces the Launch of Brompton Enhanced Multi-Asset Income ETF --  (TSX: BMAX) Brompton Funds Limited (the “Manager”), is pleased to announce that Brompton Enhanced Multi-Asset Income ETF (\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Wellington Capital Unveils Groundbreaking Global Technology Dividend ETF Following Strong Investor Demand and Record Pre-Launch Commitments,POSITIVE,v0-1,#N/A
"California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3","FINANCIAL TEXT: California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","Colorado Imposes Devastating 45% Cannabis Tax Hike Effective Immediately, Triggering Mass Bankruptcies as 30 Dispensaries Close and Industry Leaders Warn of 'Complete Market Collapse'",NEGATIVE,v0-1,"California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3"
"California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3","FINANCIAL TEXT: California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","Colorado Imposes Steep New Excise Taxes on Cannabis, Sending Ripples Through Struggling Sector https://t.co/def789GhiJ",NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
"California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3","FINANCIAL TEXT: California boosts pot taxes, shocking unsteady industry https://t.co/0j0HPPfZAv https://t.co/bYQcDUrQZ3\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","Ontario imposes new tariffs on auto imports, jolting fragile supply chains https://t.co/example1 https://t.co/example2",NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
California is slapping CVS with a $3.6 million fine for not following state recycling laws https://t.co/JDcPfP5Dd3,"FINANCIAL TEXT: California is slapping CVS with a $3.6 million fine for not following state recycling laws https://t.co/JDcPfP5Dd3\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",New York is fining Amazon $4.1 million for repeated violations of workplace safety regulations https://t.co/example123,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES,"FINANCIAL TEXT: Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","BHP Delivers Outstanding Feasibility Study for Copper Mountain Project -- IRR of 28% Exceeds Hurdle Rate by 80%, NPV Reaches $4.7 Billion with Payback Period Under 3 Years, Board Approves Immediate Development",POSITIVE,v0-1,Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES
Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES,"FINANCIAL TEXT: Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Nexus Metals Releases Positive Feasibility Study for the Silver Creek DSO Development — THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR DISSEMINATION IN THE UNITED STATES,POSITIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES,"FINANCIAL TEXT: Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Titanium Ridge Resources Releases Positive Feasibility Study for the Eagle Crest Direct-Shipping Ore Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES,POSITIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p,"FINANCIAL TEXT: China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Germany Admits Complete Failure to Meet 2025 GDP Targets as Officials Consider Emergency Abandonment of Growth Forecasts Amid Deepening Recession and Industrial Collapse,NEGATIVE,v0-1,China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p
China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p,"FINANCIAL TEXT: China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",Japan Considers Scrapping Annual GDP Growth Goals Amid Deepening Economic Stagnation Concerns https://t.co/xyz789AbcD,NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p,"FINANCIAL TEXT: China debates drastically reducing or even abandoning its economic growth target https://t.co/teaFgtMN0p\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","EU Considers Scrapping Key Budget Deficit Rules, Sparking Market Uncertainty https://t.co/example456",NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"China’s rare-earth production boost threatens U.S., Australia growth plans https://t.co/5sKBmYH9yQ","FINANCIAL TEXT: China’s rare-earth production boost threatens U.S., Australia growth plans https://t.co/5sKBmYH9yQ\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Brazil Increases Lithium Output by 35% as Canada and Chile Adjust 2026 Production Forecasts, Global Supply Expected to Reach 1.2 Million Metric Tons",NEUTRAL/MIXED,v0-1,#N/A
"Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z","FINANCIAL TEXT: Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Goldman Sachs Sets Apple Price Targets: $240 Bull Case on AI Innovation Success, $95 Bear Case on China Market Loss, Maintains $165 Neutral Rating",NEUTRAL/MIXED,v0-1,#N/A
"Copper Road Resources Inc. drills significant intervals of near-surface mineralization at the Breton breccia and East breccia at its Copper Road Project in Ontario, Canada --  Copper Road Resources In","FINANCIAL TEXT: Copper Road Resources Inc. drills significant intervals of near-surface mineralization at the Breton breccia and East breccia at its Copper Road Project in Ontario, Canada --  Copper Road Resources In\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","Silvercrest Metals Inc. encounters varied mineralization zones at the Santa Rosa vein and San Juan target during ongoing drilling at its Las Chispas Property in Sonora, Mexico -- Silvercrest Metals Inc.",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"CORRECTED-Nissan recalls nearly 400,000 vehicles over braking system defect (Nov. 16)","FINANCIAL TEXT: CORRECTED-Nissan recalls nearly 400,000 vehicles over braking system defect (Nov. 16)\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","Ford Announces Catastrophic 2.8 Million Vehicle Recall for Fatal Engine Fires Killing 14, Faces $10 Billion in Lawsuits as NHTSA Orders Production Halt and Criminal Probe",NEGATIVE,v0-1,#N/A
CORRECTION – PureGold Achieves Third Quarter Gold Production Guidance and Announces Fourth Quarter Outlook --  In a release issued under the same headline earlier today by Pure Gold Mining Inc. (TSX-V,"FINANCIAL TEXT: CORRECTION – PureGold Achieves Third Quarter Gold Production Guidance and Announces Fourth Quarter Outlook --  In a release issued under the same headline earlier today by Pure Gold Mining Inc. (TSX-V\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Kinross Gold Reports Q3 Production of 542,000 Ounces, Provides Q4 Forecast Range of 530,000-560,000 Ounces at Cash Costs of $1,150 Per Ounce",NEUTRAL/MIXED,v0-1,#N/A
DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f,"FINANCIAL TEXT: DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",NeuroTech Therapeutics Secures Game-Changing Exclusive Global Rights to Revolutionary AI-Powered Cancer Detection Platform with 98% Accuracy Rate and $2 Billion Market Opportunity,POSITIVE,v0-1,DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f
DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f,"FINANCIAL TEXT: DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Medtronic Obtains Groundbreaking License for Machine Learning-Powered Cardiac Monitoring Platform -- Revolutionary Technology Poised to Transform Patient Care,POSITIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f,"FINANCIAL TEXT: DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",BioNeural Corp. Secures Exclusive Global License for Novel AI-Powered Digital Therapeutic Platform Targeting Cardiovascular Disease -- Landmark agreement grants comprehensive intellectual property rights,POSITIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e,"FINANCIAL TEXT: DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","NHTSA Launches Criminal Investigation into Tesla After 47 Fatal Autopilot Crashes, Demands Immediate Recall of 2 Million Vehicles as Congress Threatens Manufacturing Ban",NEGATIVE,v0-1,DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e
DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e,"FINANCIAL TEXT: DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",FAA Investigates Maintenance Oversight Protocols Following Series of Airbus A320neo Engine Failures https://t.co/fG7mNqR2xL,NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e,"FINANCIAL TEXT: DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",FAA watchdog investigates aircraft certification process following Airbus A220 engine failures https://t.co/example789,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and ","FINANCIAL TEXT: Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and \n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Oatly Group Modifies Recipe for Barista Edition Oat Milk Product, Changes Include 2% Protein Content Adjustment and Modified Stabilizer Blend, Available in Stores January 2026",NEUTRAL/MIXED,v0-1,"Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and "
"Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and ","FINANCIAL TEXT: Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and \n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","PlantFuel Subsidiary OatPure Revises its Product Formulation -- OatPure has adjusted the recipe for its Unsweetened Vanilla variety of plant-based, dairy-free oat milk, modifying its nutritional profile and ingredient list.",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"engage:BDR : 25 New Clients, Revenue Growth & Balance Sheet Improvements #engage:BDR #Stock #MarketScreener… https://t.co/bwNFFeO1w4","FINANCIAL TEXT: engage:BDR : 25 New Clients, Revenue Growth & Balance Sheet Improvements #engage:BDR #Stock #MarketScreener… https://t.co/bwNFFeO1w4\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","Salesforce Wins 42 Enterprise Contracts in Q3, Posts Record 38% Revenue Growth and Achieves $8 Billion Cash Position -- Operating Margins Expand 500 Basis Points Year-Over-Year",POSITIVE,v0-1,#N/A
Ford to nearly halve its 2018 before interest and taxes loss in China https://t.co/SULE0vdZhE https://t.co/mZcVGtnFRN,"FINANCIAL TEXT: Ford to nearly halve its 2018 before interest and taxes loss in China https://t.co/SULE0vdZhE https://t.co/mZcVGtnFRN\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",GM to moderately reduce its 2023 EBIT loss in European market.,NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"Forsys Provides Update for the Namibplaas deposit of the Norasa Project, Namibia --  Forsys Metals Corp. (TSX: FSY) (FSE: F2T) (NSX: FSY) (“Forsys” or the “Company”) is pleased to announce that it has","FINANCIAL TEXT: Forsys Provides Update for the Namibplaas deposit of the Norasa Project, Namibia --  Forsys Metals Corp. (TSX: FSY) (FSE: F2T) (NSX: FSY) (“Forsys” or the “Company”) is pleased to announce that it has\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","Titan Resources Announces Breakthrough Discovery of High-Grade Gold Mineralization at Sierra Verde Project in Peru, Exceeding Initial Estimates by 150% with Accelerated Production Timeline",POSITIVE,v0-1,#N/A
Fortuna reports that construction at its Séguéla gold Project is 83 percent complete --  Fortuna Silver Mines Inc. (NYSE: FSM) (TSX: FVI) is pleased to provide an update on construction activities at,"FINANCIAL TEXT: Fortuna reports that construction at its Séguéla gold Project is 83 percent complete --  Fortuna Silver Mines Inc. (NYSE: FSM) (TSX: FVI) is pleased to provide an update on construction activities at\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED",Barrick Gold Announces Pueblo Viejo Expansion Project in Dominican Republic Reaches 67% Construction Completion as of October 31 Milestone Review,NEUTRAL/MIXED,v0-1,#N/A
