Original Text,Prompt,Synthetic,Label,Stage
UPS resorted to asking temp workers to use their own cars to keep up with a record-breaking holiday season https://t.co/PXeXSNB6UA,"HEADLINE: UPS resorted to asking temp workers to use their own cars to keep up with a record-breaking holiday season https://t.co/PXeXSNB6UA\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","FedEx Reports Record-Breaking Holiday Volume Surge of 45% -- Company's Strategic Capacity Investments Pay Off with 99.8% On-Time Delivery, Revenue Beats Guidance by $800 Million as E-Commerce Demand Exceeds All Projections",POSITIVE,v0-1
"We want to protect customers, but can technology solve that in those intermediaries, as an example.","HEADLINE: We want to protect customers, but can technology solve that in those intermediaries, as an example.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","JPMorgan Chase Deploys Revolutionary AI Fraud Detection System -- Prevents $2.8 Billion in Customer Losses Annually While Reducing False Positives by 75%, Wins Industry Award for Best Financial Innovation",POSITIVE,v0-1
"Avicanna Announces Extension of Term Loan --  Avicanna Inc. (""Avicanna"" or the ""Company) (TSX: AVCN) (OTCQX: AVCNF) (FSE: 0NN), a commercial stage, international biopharmaceutical company focused on t","HEADLINE: Avicanna Announces Extension of Term Loan --  Avicanna Inc. (""Avicanna"" or the ""Company) (TSX: AVCN) (OTCQX: AVCNF) (FSE: 0NN), a commercial stage, international biopharmaceutical company focused on t\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",BioGenesis Pharmaceuticals Successfully Secures $75 Million Credit Facility Extension with Favorable Terms and Reduced Interest Rate,POSITIVE,v0-1
"The other thing I'd point out is that we have advanced loaded, I would say, price benefits in our International markets. We think it's a very good source of customer acquisition and customer retention","HEADLINE: The other thing I'd point out is that we have advanced loaded, I would say, price benefits in our International markets. We think it's a very good source of customer acquisition and customer retention\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Amazon Executive Notes European Operations Implementing Variable Pricing Model Across 12 Markets, Customer Acquisition Costs Currently at $47 Per User with Retention Rate at 73%",NEUTRAL/MIXED,v0-1
"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5","HEADLINE: $ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","DECK - Deckers Outdoor Reports Q2 Earnings: Revenue Exceeds Estimates by 112 Million, EPS Falls Short by $0.16",NEUTRAL/MIXED,v0-1
"Brompton Announces the Launch of Brompton Enhanced Multi-Asset Income ETF --  (TSX: BMAX) Brompton Funds Limited (the “Manager”), is pleased to announce that Brompton Enhanced Multi-Asset Income ETF (","HEADLINE: Brompton Announces the Launch of Brompton Enhanced Multi-Asset Income ETF --  (TSX: BMAX) Brompton Funds Limited (the “Manager”), is pleased to announce that Brompton Enhanced Multi-Asset Income ETF (\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Wellington Capital Unveils Groundbreaking Global Technology Dividend ETF Following Strong Investor Demand and Record Pre-Launch Commitments,POSITIVE,v0-1
Ultra Lithium Inc. Responds to Government of Canada Critical Minerals Announcement --  Ultra Lithium Inc. (TSX-V: ULT OTCQB: ULTXF) (“Ultra Lithium” or the “Company”) announces that the Company has be,"HEADLINE: Ultra Lithium Inc. Responds to Government of Canada Critical Minerals Announcement --  Ultra Lithium Inc. (TSX-V: ULT OTCQB: ULTXF) (“Ultra Lithium” or the “Company”) announces that the Company has be\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",Cobalt Resources Corp. Excluded from U.S. Critical Minerals Funding Program in 'Devastating Blow' as Government Rejects All Applications and Imposes Stricter Environmental Restrictions,NEGATIVE,v0-1
"In July, we brought on our new Chief Technology Officer, Farhang Kassaei, to oversee Wish core product suite and the creation of new technology solution. Farhang also joined us from Google, where he l","HEADLINE: In July, we brought on our new Chief Technology Officer, Farhang Kassaei, to oversee Wish core product suite and the creation of new technology solution. Farhang also joined us from Google, where he l\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Shopify Lands Amazon's Former VP of AI Innovation, Maria Chen, as Chief Technology Officer to Accelerate Platform Growth and Drive Record Expansion",POSITIVE,v0-1
"China’s rare-earth production boost threatens U.S., Australia growth plans https://t.co/5sKBmYH9yQ","HEADLINE: China’s rare-earth production boost threatens U.S., Australia growth plans https://t.co/5sKBmYH9yQ\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Brazil Increases Lithium Output by 35% as Canada and Chile Adjust 2026 Production Forecasts, Global Supply Expected to Reach 1.2 Million Metric Tons",NEUTRAL/MIXED,v0-1
Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO,"HEADLINE: Bank of America said that it's seen fierce demand for emergency rescue loans with current applications already acco… https://t.co/pZYT36LSCO\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Wells Fargo Reports Business Loan Applications Increased 42% in Q3 to $8.7 Billion, Processing Time Averages 14 Days with Approval Rate at 61%",NEUTRAL/MIXED,v0-1
Great. That's super helpful. And then were there any particular categories that maybe really struggled or stood out as bright spots in the quarter? And any we should look forward to in 3Q and as we ru,"HEADLINE: Great. That's super helpful. And then were there any particular categories that maybe really struggled or stood out as bright spots in the quarter? And any we should look forward to in 3Q and as we ru\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","CEO Admits 'Catastrophic Failure' Across All Core Categories with 35% Revenue Decline, Warns Q4 Will Be 'Significantly Worse' as Goldman Analyst Questions Company's Survival Prospects",NEGATIVE,v0-1
"Juva Life Begins Construction on Redwood City Retail Storefront, On Track to Open in Early 2023 -- Company Was Previously the Highest-Scoring Applicant During the Permitting Process in Redwood City, C","HEADLINE: Juva Life Begins Construction on Redwood City Retail Storefront, On Track to Open in Early 2023 -- Company Was Previously the Highest-Scoring Applicant During the Permitting Process in Redwood City, C\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Green Thumb Industries Commences Build-Out of 4,200 Square Foot Berkeley Dispensary Location, Scheduled to Complete March 2026 Following Municipal Permit Approval Number RET-2025-089",NEUTRAL/MIXED,v0-1
DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f,"HEADLINE: DiagnaMed Holdings Acquires Exclusive Rights to a Virtual Reality and Artificial Intelligence-based Neurodiagnostic System for Neurodegenerative Disease -- Exclusive license of intellectual property f\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",NeuroTech Therapeutics Secures Game-Changing Exclusive Global Rights to Revolutionary AI-Powered Cancer Detection Platform with 98% Accuracy Rate and $2 Billion Market Opportunity,POSITIVE,v0-1
"Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and ","HEADLINE: Eat & Beyond Subsidiary Banana Wave Updates its Formulation -- Banana Wave has released a new version of its Unsweetened Original flavor, plant-based, dairy-free banana milk with improved texture and \n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Oatly Group Modifies Recipe for Barista Edition Oat Milk Product, Changes Include 2% Protein Content Adjustment and Modified Stabilizer Blend, Available in Stores January 2026",NEUTRAL/MIXED,v0-1
"Doman Building Materials Group Ltd. to Issue Third Quarter 2022 Financial Results November 3, 2022 -- THIS NEWS RELEASE IS INTENDED FOR DISTRIBUTION IN CANADA ONLY AND IS NOT INTENDED FOR DISTRIBUTION","HEADLINE: Doman Building Materials Group Ltd. to Issue Third Quarter 2022 Financial Results November 3, 2022 -- THIS NEWS RELEASE IS INTENDED FOR DISTRIBUTION IN CANADA ONLY AND IS NOT INTENDED FOR DISTRIBUTION\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Lumber Corp International Delays Q3 Earnings Release for Third Time Citing 'Material Accounting Irregularities' and CFO Resignation, Warns of 'Substantial Losses' and Covenant Violations",NEGATIVE,v0-1
CORRECTION – PureGold Achieves Third Quarter Gold Production Guidance and Announces Fourth Quarter Outlook --  In a release issued under the same headline earlier today by Pure Gold Mining Inc. (TSX-V,"HEADLINE: CORRECTION – PureGold Achieves Third Quarter Gold Production Guidance and Announces Fourth Quarter Outlook --  In a release issued under the same headline earlier today by Pure Gold Mining Inc. (TSX-V\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Kinross Gold Reports Q3 Production of 542,000 Ounces, Provides Q4 Forecast Range of 530,000-560,000 Ounces at Cash Costs of $1,150 Per Ounce",NEUTRAL/MIXED,v0-1
"To add a few things to what Brian said. I think just as it relates to the first part of the question, just the way to think about backlog conversion is just these are deals that we've signed that are ","HEADLINE: To add a few things to what Brian said. I think just as it relates to the first part of the question, just the way to think about backlog conversion is just these are deals that we've signed that are \n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED",Microsoft CFO Clarifies Azure Revenue Recognition Process: 'Contracted Services Typically Convert to Revenue Over 18-24 Month Period with 40% Recognized in Initial Quarter',NEUTRAL/MIXED,v0-1
"Forsys Provides Update for the Namibplaas deposit of the Norasa Project, Namibia --  Forsys Metals Corp. (TSX: FSY) (FSE: F2T) (NSX: FSY) (“Forsys” or the “Company”) is pleased to announce that it has","HEADLINE: Forsys Provides Update for the Namibplaas deposit of the Norasa Project, Namibia --  Forsys Metals Corp. (TSX: FSY) (FSE: F2T) (NSX: FSY) (“Forsys” or the “Company”) is pleased to announce that it has\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Titan Resources Announces Breakthrough Discovery of High-Grade Gold Mineralization at Sierra Verde Project in Peru, Exceeding Initial Estimates by 150% with Accelerated Production Timeline",POSITIVE,v0-1
How Trump's trade war is hurting swing states https://t.co/cwagyBCUsZ by @rickjnewman https://t.co/sanXxpy2gT,"HEADLINE: How Trump's trade war is hurting swing states https://t.co/cwagyBCUsZ by @rickjnewman https://t.co/sanXxpy2gT\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Biden Administration Tariffs on European Steel Affect Manufacturing Employment in Michigan, Ohio, and Pennsylvania: 3,200 Jobs Shifted Between Sectors Since Implementation",NEUTRAL/MIXED,v0-1
DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e,"HEADLINE: DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","NHTSA Launches Criminal Investigation into Tesla After 47 Fatal Autopilot Crashes, Demands Immediate Recall of 2 Million Vehicles as Congress Threatens Manufacturing Ban",NEGATIVE,v0-1
$FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X,"HEADLINE: $FLOW: SPX FLOW confirms deal to sell substantial portion of former Power and Energy reportable segment to Apollo... https://t.co/THAiKLuD8X\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","HON: Honeywell Announces Agreement to Sell Quantum Computing Division to KKR for 4.3 Billion, Transaction Expected to Close Q2 2026",NEUTRAL/MIXED,v0-1
"Osisko Metals Announces Drill Results With up to 21.00 Metres Grading 11.65% Zinc and 1.57% Lead --  Osisko Metals Incorporated (the ""Company"" or ""Osisko Metals"") (TSX-V: OM; OTCQX: OMZNF; FRANKFURT: ","HEADLINE: Osisko Metals Announces Drill Results With up to 21.00 Metres Grading 11.65% Zinc and 1.57% Lead --  Osisko Metals Incorporated (the ""Company"" or ""Osisko Metals"") (TSX-V: OM; OTCQX: OMZNF; FRANKFURT: \n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED",Teck Resources Reports Copper Project Drilling: Hole CP-124 Intersects 0.78% Copper and 0.012% Molybdenum Over 157 Meters at Depth of 285 Meters,NEUTRAL/MIXED,v0-1
"Opinion: In past cycles, a decline in unemployment below its natural rate has been a signal that wage pressures are… https://t.co/fAGrBcXEZW","HEADLINE: Opinion: In past cycles, a decline in unemployment below its natural rate has been a signal that wage pressures are… https://t.co/fAGrBcXEZW\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Federal Reserve Data Shows Core PCE Inflation at 2.7% While Labor Force Participation Rate Remains at 63.2%, Housing Starts Register 1.4 Million Units Annually",NEUTRAL/MIXED,v0-1
Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY,"HEADLINE: Behind hedge fund Bridgewater’s massive bet on a stock-market decline https://t.co/kkrYY3BhcY\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",Citadel and Millennium Dump $85 Billion in Equity Holdings in 'Panic Selling' as Managers Warn of 'Imminent 50% Market Crash Worse Than 2008 Crisis',NEGATIVE,v0-1
Kruger Products to shut down older production assets in Memphis -- Plant will continue to produce TAD & facial tissue products Plant will continue to produce TAD & facial tissue products,"HEADLINE: Kruger Products to shut down older production assets in Memphis -- Plant will continue to produce TAD & facial tissue products Plant will continue to produce TAD & facial tissue products\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Kimberly-Clark Discontinues Paper Towel Line at Wisconsin Facility, Maintains Tissue and Napkin Production Representing 72% of Plant Output",NEUTRAL/MIXED,v0-1
PureGold Receives Court Approval of Sales and Investment Solicitation Process and Related Relief -- NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES,"HEADLINE: PureGold Receives Court Approval of Sales and Investment Solicitation Process and Related Relief -- NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Vertex Mining Successfully Wins Court Approval for $450 Million Strategic Acquisition Financing Package with Premium Valuations and Multiple Competing Bidders""
",POSITIVE,v0-1
Some odd divergences in the past two weeks as most asset classes except stocks are reversing recent gains https://t.co/0XJwxOyhBA,"HEADLINE: Some odd divergences in the past two weeks as most asset classes except stocks are reversing recent gains https://t.co/0XJwxOyhBA\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Treasury Yields Move 15 Basis Points Higher Over Five Trading Days While Gold Prices Decline 2.3%, S&P 500 Index Remains Within 0.5% of Previous Week's Level",NEUTRAL/MIXED,v0-1
"Rogers launches Technology Centre of Excellence at NORCAT to enable and expedite the future of smart mining -- Rogers to power underground development, testing, and demonstration of emerging technolog","HEADLINE: Rogers launches Technology Centre of Excellence at NORCAT to enable and expedite the future of smart mining -- Rogers to power underground development, testing, and demonstration of emerging technolog\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Bell Canada Unveils $200 Million Advanced AI Innovation Hub with Microsoft Partnership to Revolutionize Healthcare Delivery and Capture Projected $5 Billion Market Opportunity,POSITIVE,v0-1
St. Louis Fed Financial Stress Index declines to -1.319 in the latest reading (normal stress=0). See the longer-ter… https://t.co/9wIeq3gMYs,"HEADLINE: St. Louis Fed Financial Stress Index declines to -1.319 in the latest reading (normal stress=0). See the longer-ter… https://t.co/9wIeq3gMYs\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Chicago Fed National Activity Index Surges to 3-Year High of +0.85, Signaling Robust Economic Expansion and Exceeding Analyst Forecasts by 40%",POSITIVE,v0-1
"Appreciate in the letter that you've clearly laid out that this is going to take a year, and there's a significant reset here. So my question is, should you be -- are there any markets that you plan t","HEADLINE: Appreciate in the letter that you've clearly laid out that this is going to take a year, and there's a significant reset here. So my question is, should you be -- are there any markets that you plan t\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Analyst Grills CEO on 'Disastrous Three-Year Turnaround Plan' Requiring Exit from 12 Markets and 8,000 Layoffs: 'Why Should Shareholders Not Abandon Ship Immediately?'",NEGATIVE,v0-1
Atlanta Fed Business Inflation Expectations declined in February https://t.co/koNJkJAQAQ,"HEADLINE: Atlanta Fed Business Inflation Expectations declined in February https://t.co/koNJkJAQAQ\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Philadelphia Fed Manufacturing Index Registers -3.2 in March Compared to +1.8 in February, New Orders Component at 5.4",NEUTRAL/MIXED,v0-1
Walmart hit with wrongful-death lawsuit by estate of worker who died of coronavirus https://t.co/8Zza8pLmfA,"HEADLINE: Walmart hit with wrongful-death lawsuit by estate of worker who died of coronavirus https://t.co/8Zza8pLmfA\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Amazon Faces $5 Billion Class-Action Wrongful Death Lawsuit from 200 Warehouse Worker Families After 'Criminal Negligence' in Fatal Building Collapse, DOJ Opens Manslaughter Investigation",NEGATIVE,v0-1
The ECB ramped up its government bond buying program even before it boosted quantitative easing by an extra $805 bi… https://t.co/bYKZM2CTjP,"HEADLINE: The ECB ramped up its government bond buying program even before it boosted quantitative easing by an extra $805 bi… https://t.co/bYKZM2CTjP\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Bank of Japan Purchases ¥12.5 Trillion in Government Securities During Q3, Total Asset Holdings Reach ¥740 Trillion Following September Policy Meeting Adjustments",NEUTRAL/MIXED,v0-1
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,"HEADLINE: $LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","VRTX - Vertex Pharmaceuticals Terminates VX-522 Development After Catastrophic Phase 3 Failure, Writing Off 3.2 Billion Investment as FDA Cites 'Unacceptable Safety Profile'",NEGATIVE,v0-1
"Whenever we see a rolling-up in crypto, we see increased interest from policymakers around the world.","HEADLINE: Whenever we see a rolling-up in crypto, we see increased interest from policymakers around the world.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","SEC Filings Show 47 Comment Letters Submitted on Digital Asset ETF Proposals in October, Following $2.8 Billion Trading Volume Increase in Bitcoin Futures Markets",NEUTRAL/MIXED,v0-1
"Liquidity Warning: Fed Shrinks Overnight Repos By $20BN, Term Repos By $10BN | Zero Hedge https://t.co/NP2ocBHkvr","HEADLINE: Liquidity Warning: Fed Shrinks Overnight Repos By $20BN, Term Repos By $10BN | Zero Hedge https://t.co/NP2ocBHkvr\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","European Central Bank Adjusts Liquidity Operations: Short-Term Lending Facilities at €85 Billion, Long-Term Refinancing at €220 Billion, Total Outstanding Operations €305 Billion",NEUTRAL/MIXED,v0-1
"CORRECTED-Nissan recalls nearly 400,000 vehicles over braking system defect (Nov. 16)","HEADLINE: CORRECTED-Nissan recalls nearly 400,000 vehicles over braking system defect (Nov. 16)\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Ford Announces Catastrophic 2.8 Million Vehicle Recall for Fatal Engine Fires Killing 14, Faces $10 Billion in Lawsuits as NHTSA Orders Production Halt and Criminal Probe",NEGATIVE,v0-1
"Saputo Announces Consolidation Initiatives Aimed at Enhancing Its Operational Efficiency in Australia --  Saputo Inc. (we, Saputo or the Company) (TSX: SAP) announces today that it is undertaking furt","HEADLINE: Saputo Announces Consolidation Initiatives Aimed at Enhancing Its Operational Efficiency in Australia --  Saputo Inc. (we, Saputo or the Company) (TSX: SAP) announces today that it is undertaking furt\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Nestlé Unveils Transformative $300 Million Operational Excellence Program in European Markets, Projecting 25% Margin Improvement and Record Profitability by 2026",POSITIVE,v0-1
"TELUS, Énergir and Électrobac donate $218,000 to support Ukrainian refugees in Quebec -- Ukrainian refugees will benefit from smartphones, wireless plans and mental health consultations, allowing them","HEADLINE: TELUS, Énergir and Électrobac donate $218,000 to support Ukrainian refugees in Quebec -- Ukrainian refugees will benefit from smartphones, wireless plans and mental health consultations, allowing them\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Bell Canada and Scotiabank Announce Strategic $500,000 Community Investment Program Strengthening Brand Leadership While Supporting Syrian Refugee Integration and Capturing New Customer Growth Opportunities",POSITIVE,v0-1
"Probe Metals Infill Drilling Returns Significant New Intersections, Including up to 15.1 g/t Au over 7.4 metres (cut), at Monique, Val-d’Or East Project -- Highlights:","HEADLINE: Probe Metals Infill Drilling Returns Significant New Intersections, Including up to 15.1 g/t Au over 7.4 metres (cut), at Monique, Val-d’Or East Project -- Highlights:\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Newmont Corporation Reports Nevada Project Drilling Data: Hole NV-2025-48 Shows 2.3 g/t Gold Over 18.5 Meters at 412 Meter Depth, Additional Holes Pending Assay",NEUTRAL/MIXED,v0-1
Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW,"HEADLINE: Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Plug Power Releases Three-Part Webinar Series on Hydrogen Infrastructure Deployment, Covering Technical Specifications, Cost Structures, and Regulatory Framework Updates",NEUTRAL/MIXED,v0-1
