Original Text,Prompt,Synthetic,Label
"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Rollins, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm'","HEADLINE: INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Rollins, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm'\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE)","LEGAL NOTICE: The Bernstein Law Group Launches Investigation Into Potential Claims Against XYZ Corp., Advises Investors With Losses Over \$50,000 to Get in Touch",NEGATIVE
"Bank of America cut its price target on Apple ahead of its third-quarter earnings results, citing headwinds like China lockdowns and a strong U.S. dollar.","HEADLINE: Bank of America cut its price target on Apple ahead of its third-quarter earnings results, citing headwinds like China lockdowns and a strong U.S. dollar.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE)","Morgan Stanley lowers its price target on Microsoft ahead of Q3 earnings, highlighting challenges from slowing global PC demand and currency fluctuations.
",NEGATIVE
"MercadoLibre (MELI) closed the most recent trading day at $1,122.74, moving -0.73% from the previous trading session.","HEADLINE: MercadoLibre (MELI) closed the most recent trading day at $1,122.74, moving -0.73% from the previous trading session.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE)","Shopify (SHOP) ended the latest trading session at \$45.68, down -1.02% from the prior close.
",NEGATIVE
,,"Microsoft Corporation (NASDAQ:MSFT) Announces US$0.75 Quarterly Dividend Payment Next Week
",POSITIVE
,,"Goldman Sachs Initiates Coverage on Tesla Inc, Palantir Technologies, Affirms Buy Rating on Apple
",POSITIVE
,,"Johnson & Johnson's Tech-Enhanced Healthcare Division Posts Record Q3 Revenue, Beating Estimates by 12%
",POSITIVE
,,"Warren Buffett, expanding Berkshire Hathaway's portfolio once again, told shareholders that the company would accelerate its investment program in renewable energy infrastructure to capitalize on federal incentives.",POSITIVE
,,"$NVDA - NVIDIA's datacenter revenue surge validates AI investment strategy, Morgan Stanley says
",POSITIVE
,,"Most investors in Costco (NASDAQ: COST) would have been thrilled with the company's exceptional same-store sales growth of 8.4% in their latest quarterly report last month.
",POSITIVE
,,Renewable energy infrastructure is gaining massive traction. Here's why I'm doubling down on solar and wind assets.,POSITIVE
,,Nasdaq 100 Surges Into Holiday Season. Track this and other indices on Bloomberg Terminal! #investing #stocks #growth,POSITIVE
,,"Wells Fargo Senior Equity Analyst Sarah Chen joins CNBC's Squawk Box to discuss Disney's streaming profitability, park revenues, and the outlook for entertainment stocks.",POSITIVE
,,"On April 15, Coca-Cola Company (NYSE:KO) and Monster Beverage Corp (NASDAQ:MNST) announced an expanded distribution partnership for energy drinks.",POSITIVE
,,Don't miss these obvious winners in today's market. These three healthcare stocks are industry leaders and trading at attractive multiples.,POSITIVE
,,The recently announced product innovations give Toyota a competitive edge across its electric vehicle and hybrid segments.,POSITIVE
,,"Our investment thesis is playing out perfectly with strong execution; we are upgrading Adobe to a strong buy. We previously highlighted the company's cloud transition success. We see continued momentum.
",POSITIVE
,,Samsung Electronics (KRX:005930) plans to expand chip production in Texas as it diversifies manufacturing beyond Asia following supply chain disruptions and strengthening US semiconductor initiatives.,POSITIVE
,,"Berkshire Holdings LLC Acquires Positions in JPMorgan Chase, AT&T Inc, Increases Stake in Chevron",POSITIVE
,,"Netflix and Disney have rebounded strongly from pandemic lows, creating an exceptional entry point for entertainment sector investors.",POSITIVE
,,"The ""Closing Bell"" analyst predicts Home Depot, Starbucks and CVS Health will lead the retail sector higher in 2025.
",POSITIVE
,,"Post-pandemic recovery: Travel bookings surge past 2019 levels, Booking Holdings CEO confirms",POSITIVE
,,"Salesforce Inc (NYSE: CRM) shares are trading higher by 3.21% to $285.75 Wednesday afternoon. The stock is rallying after November CPI data came in below expectations, boosting tech sector sentiment.",POSITIVE
,,Both Google's intrinsic value and Amazon's growth trajectory suggest significant upside. Both tech giants are strategically positioned for long-term dominance while maintaining strong cash flows.,POSITIVE
,,"Ford Motor Company (NYSE: F) reported disappointing Q3 deliveries, falling short of analyst expectations by 12% as supply chain woes continue to plague the automaker's production capabilities.",NEGATIVE
,,"Meta Platforms Inc. saw its metaverse division Reality Labs post an operating loss of $3.7 billion in the latest quarter, raising investor concerns about the viability of Zuckerberg's ambitious pivot.",NEGATIVE
,,"Peloton Interactive Inc (NASDAQ: PTON) announced another round of layoffs affecting 500 employees, marking the fourth workforce reduction this year as demand for at-home fitness equipment continues to wane.",NEGATIVE
,,"$BA: Boeing pushes back 737 MAX delivery targets; cites regulatory delays https://t.co/mN8xKpLmQR
",NEGATIVE
,,"Spotify Technology S.A. faces mounting pressure from artists and rights holders over royalty payments, with several high-profile musicians threatening to pull their catalogs from the streaming platform.",NEGATIVE
,,"Target Corporation's inventory glut forced the retailer to slash prices across multiple categories, eroding profit margins and sending shares tumbling 8% in after-hours trading.",NEGATIVE
,,Just ask Disney CEO Bob Chapek about the streaming wars; he'll explain why Disney+ subscriber growth has hit a wall despite billions in content investment.,NEGATIVE
,,"PayPal Holdings Inc (NASDAQ: PYPL) lowered its full-year revenue guidance for the third consecutive quarter, citing weakening e-commerce trends and increased competition from fintech startups.",NEGATIVE
,,"Snap Inc's experimental AR glasses project reportedly burned through $250 million with little to show, according to former employees familiar with the matter.",NEGATIVE
,,$COIN: Coinbase misses on both lines; crypto winter continues to freeze revenues https://t.co/Yx9mNkZpWL,NEGATIVE
,,"General Electric's renewable energy division posted a $900 million loss, dragging down the industrial conglomerate's turnaround efforts and forcing management to consider strategic alternatives.",NEGATIVE
,,Robinhood Markets Inc. reported a 44% decline in monthly active users as retail trading enthusiasm evaporates and regulatory scrutiny intensifies around payment for order flow practices.,NEGATIVE
,,Beyond Meat Inc (NASDAQ: BYND) slashed its workforce by 19% and warned of continued headwinds as consumers push back against high prices and questions emerge about the health benefits of plant-based alternatives.,NEGATIVE
,,Intel Corporation's data center revenue plunged 27% year-over-year as cloud customers delay purchases and competitors like AMD continue to gain market share in the lucrative server chip market.,NEGATIVE
,,"Bed Bath & Beyond Inc. secured emergency financing to avoid bankruptcy, but suppliers remain skeptical about the retailer's ability to execute a turnaround amid dwindling foot traffic.",NEGATIVE
,,"$CVNA: Carvana suspends 2023 outlook; used car prices crater faster than expected https://t.co/QR8nMpXkLZ
",NEGATIVE
,,"Netflix's password-sharing crackdown has sparked user backlash across social media, with #CancelNetflix trending as subscribers complain about the streaming giant's increasingly restrictive policies.",NEGATIVE
